Date,Spot
"abr 15, 2005",50.43
"abr 22, 2005",51.23
"abr 29, 2005",51.64
"may 06, 2005",50.05
"may 13, 2005",48.7
"may 20, 2005",46.98
"may 27, 2005",48.59
"jun 03, 2005",50.46
"jun 10, 2005",51.9
"jun 17, 2005",54.17
"jun 24, 2005",56.95
"jul 01, 2005",56.69
"jul 08, 2005",57.98
"jul 15, 2005",57.43
"jul 22, 2005",56.39
"jul 29, 2005",58.5
"ago 05, 2005",60.42
"ago 12, 2005",64.46
"ago 19, 2005",64.23
"ago 26, 2005",65.68
"sep 02, 2005",66.09
"sep 09, 2005",63.24
"sep 16, 2005",61.22
"sep 23, 2005",63.63
"sep 30, 2005",62.16
"oct 07, 2005",58.93
"oct 14, 2005",58.59
"oct 21, 2005",58.15
"oct 28, 2005",58.5
"nov 04, 2005",58.74
"nov 11, 2005",56.79
"nov 18, 2005",53.77
"nov 25, 2005",53.57
"dic 02, 2005",53.59
"dic 09, 2005",56.07
"dic 16, 2005",58.75
"dic 23, 2005",56.36
"dic 30, 2005",57.38
"ene 06, 2006",61.72
"ene 13, 2006",62.18
"ene 20, 2006",63.54
"ene 27, 2006",63.77
"feb 03, 2006",64
"feb 10, 2006",61.23
"feb 17, 2006",58.04
"feb 24, 2006",59.39
"mar 03, 2006",61.06
"mar 10, 2006",59.5
"mar 17, 2006",62.42
"mar 24, 2006",61.61
"mar 31, 2006",64.76
"abr 07, 2006",66.93
"abr 14, 2006",68.91
"abr 21, 2006",72.54
"abr 28, 2006",72.84
"may 05, 2006",72.92
"may 12, 2006",70.44
"may 19, 2006",67.84
"may 26, 2006",68.47
"jun 02, 2006",68.75
"jun 09, 2006",67.89
"jun 16, 2006",66.17
"jun 23, 2006",68.33
"jun 30, 2006",71.82
"jul 07, 2006",73.45
"jul 14, 2006",73.99
"jul 21, 2006",73.52
"jul 28, 2006",73.53
"ago 04, 2006",76.32
